"year","value","unc","source","variable","units","lower","upper"
1957,-257.313753857424,126.674890281682,"obs","OHC","2005-2014 base period",-383.988644139106,-130.638863575742
1958,-260.737086729184,117.402751615314,"obs","OHC","2005-2014 base period",-378.139838344498,-143.33433511387
1959,-251.200340270283,111.744275951543,"obs","OHC","2005-2014 base period",-362.944616221826,-139.45606431874
1960,-253.813225975766,111.257467311811,"obs","OHC","2005-2014 base period",-365.070693287577,-142.555758663955
1961,-236.348899857186,106.28494523449,"obs","OHC","2005-2014 base period",-342.633845091676,-130.063954622697
1962,-229.142689220503,102.104609400412,"obs","OHC","2005-2014 base period",-331.247298620915,-127.038079820091
1963,-231.841481685334,93.9070983564708,"obs","OHC","2005-2014 base period",-325.748580041805,-137.934383328864
1964,-242.111455810089,87.3661770919933,"obs","OHC","2005-2014 base period",-329.477632902082,-154.745278718095
1965,-240.911171765636,85.736446511897,"obs","OHC","2005-2014 base period",-326.647618277533,-155.174725253739
1966,-241.794020013489,83.0625324535256,"obs","OHC","2005-2014 base period",-324.856552467015,-158.731487559964
1967,-252.281440011886,79.4601803449287,"obs","OHC","2005-2014 base period",-331.741620356815,-172.821259666957
1968,-268.234614377559,73.4039282908377,"obs","OHC","2005-2014 base period",-341.638542668397,-194.830686086721
1969,-276.8657226815,70.5707989382435,"obs","OHC","2005-2014 base period",-347.436521619743,-206.294923743256
1970,-268.533685577663,66.2423181622912,"obs","OHC","2005-2014 base period",-334.776003739954,-202.291367415371
1971,-262.139330317168,68.4176858420778,"obs","OHC","2005-2014 base period",-330.557016159246,-193.72164447509
1972,-253.914745389022,68.8695104881054,"obs","OHC","2005-2014 base period",-322.784255877128,-185.045234900917
1973,-252.54407698484,74.7636914401271,"obs","OHC","2005-2014 base period",-327.307768424967,-177.780385544713
1974,-238.849486401718,77.1523336765158,"obs","OHC","2005-2014 base period",-316.001820078234,-161.697152725202
1975,-233.936421388029,78.884213271005,"obs","OHC","2005-2014 base period",-312.820634659034,-155.052208117024
1976,-222.509506221719,78.7250293718022,"obs","OHC","2005-2014 base period",-301.234535593521,-143.784476849917
1977,-225.415843151885,76.8784468336272,"obs","OHC","2005-2014 base period",-302.294289985512,-148.537396318258
1978,-222.711256698811,71.0401460689727,"obs","OHC","2005-2014 base period",-293.751402767783,-151.671110629838
1979,-216.009587605785,67.5810325193111,"obs","OHC","2005-2014 base period",-283.590620125096,-148.428555086474
1980,-207.656684693208,65.6131575617823,"obs","OHC","2005-2014 base period",-273.26984225499,-142.043527131426
1981,-203.461729611557,68.7542107238234,"obs","OHC","2005-2014 base period",-272.21594033538,-134.707518887733
1982,-211.221679579955,68.3704083734918,"obs","OHC","2005-2014 base period",-279.592087953447,-142.851271206464
1983,-219.617281427605,67.6018730750118,"obs","OHC","2005-2014 base period",-287.219154502617,-152.015408352594
1984,-217.610564344917,66.9357088168532,"obs","OHC","2005-2014 base period",-284.54627316177,-150.674855528064
1985,-208.970644566599,65.0460139801871,"obs","OHC","2005-2014 base period",-274.016658546786,-143.924630586412
1986,-202.056093228181,61.5801406014571,"obs","OHC","2005-2014 base period",-263.636233829638,-140.475952626724
1987,-192.988448053455,59.2630354861278,"obs","OHC","2005-2014 base period",-252.251483539583,-133.725412567327
1988,-188.73696153994,58.7467576130713,"obs","OHC","2005-2014 base period",-247.483719153011,-129.990203926868
1989,-187.091437681727,54.644005189368,"obs","OHC","2005-2014 base period",-241.735442871095,-132.447432492359
1990,-183.030712693234,50.4662580581411,"obs","OHC","2005-2014 base period",-233.496970751375,-132.564454635092
1991,-178.427516679907,43.8679218139729,"obs","OHC","2005-2014 base period",-222.29543849388,-134.559594865934
1992,-166.3798102093,37.7163038320469,"obs","OHC","2005-2014 base period",-204.096114041346,-128.663506377253
1993,-161.330695145862,34.3964190248276,"obs","OHC","2005-2014 base period",-195.727114170689,-126.934276121034
1994,-161.249755878245,32.4333324583646,"obs","OHC","2005-2014 base period",-193.683088336609,-128.81642341988
1995,-151.872495135366,34.0227303042628,"obs","OHC","2005-2014 base period",-185.895225439629,-117.849764831104
1996,-145.252550959048,34.9515751311403,"obs","OHC","2005-2014 base period",-180.204126090189,-110.300975827908
1997,-134.511329995164,34.9724771222487,"obs","OHC","2005-2014 base period",-169.483807117413,-99.5388528729155
1998,-126.203382125996,36.4220416741848,"obs","OHC","2005-2014 base period",-162.62542380018,-89.7813404518108
1999,-117.092575508591,42.086128595548,"obs","OHC","2005-2014 base period",-159.178704104139,-75.0064469130426
2000,-106.713336821048,51.0288859561277,"obs","OHC","2005-2014 base period",-157.742222777176,-55.6844508649207
2001,-93.0465271138309,52.2745125711796,"obs","OHC","2005-2014 base period",-145.321039685011,-40.7720145426512
2002,-72.9677947360153,48.7690861538305,"obs","OHC","2005-2014 base period",-121.736880889846,-24.1987085821848
2003,-53.4932097980723,34.6873967545421,"obs","OHC","2005-2014 base period",-88.1806065526144,-18.8058130435302
2004,-45.3956973350571,26.3578606075269,"obs","OHC","2005-2014 base period",-71.753557942584,-19.0378367275302
2005,-37.9032529809273,20.6313001991339,"obs","OHC","2005-2014 base period",-58.5345531800612,-17.2719527817934
2006,-34.967530074167,18.6647973344435,"obs","OHC","2005-2014 base period",-53.6323274086104,-16.3027327397235
2007,-25.8932185064368,17.794413685013,"obs","OHC","2005-2014 base period",-43.6876321914499,-8.0988048214238
2008,-18.7929842590436,16.8279006729673,"obs","OHC","2005-2014 base period",-35.620884932011,-1.96508358607629
2009,-7.56303545263658,16.3372650578472,"obs","OHC","2005-2014 base period",-23.9003005104838,8.77422960521066
2010,1.67766053507113,16.10973374875,"obs","OHC","2005-2014 base period",-14.4320732136788,17.7873942838211
2011,9.77307486145877,16.4665047012244,"obs","OHC","2005-2014 base period",-6.69342983976565,26.2395795626832
2012,23.8009162206785,17.1715650914687,"obs","OHC","2005-2014 base period",6.62935112920987,40.9724813121472
2013,36.6261978793033,17.5804532834984,"obs","OHC","2005-2014 base period",19.0457445958049,54.2066511628017
2014,53.2421717766996,18.3335725158788,"obs","OHC","2005-2014 base period",34.9085992608208,71.5757442925784
2015,61.0488180435975,19.0033182959323,"obs","OHC","2005-2014 base period",42.0454997476652,80.0521363395299
